Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,Faustin Hélie - Desbordes-Valmore,16111,"[48.859403, 2.276522]",Paris,271,937,2003,4781
2022-11-15 20:02:48,Varenne,7015,"[48.8572026618033, 2.315277121961117]",Paris,297,985,2073,4890
2022-11-15 20:02:48,Ancien Canal - Hélène Brion,35018,"[48.89484799296163, 2.4188338592648506]",Pantin,184,601,1259,3037
2022-11-15 20:02:48,Mairie des Lilas,32602,"[48.8792834, 2.4160182]",Les Lilas,232,777,1578,3828
2022-11-15 20:02:48,Fragonard - Porte de Clichy,17011,"[48.894155633419, 2.3143893107772]",Paris,177,589,1241,3009
2022-11-15 20:02:48,Edouard Poisson - Victor Hugo,33018,"[48.91118557052621, 2.379864752692811]",Aubervilliers,133,421,868,2135
2022-11-15 20:02:48,Montgallet - Reuilly,12013,"[48.844291, 2.3896481]",Paris,326,1126,2342,5603
2022-11-15 20:02:48,Montreuil - Gonnet,11115,"[48.850500564921, 2.3890856287864]",Paris,302,1038,2214,5306
2022-11-15 20:02:48,Place Jacques Madaule,21305,"[48.823933787309, 2.2606918215752]",Issy-les-Moulineaux,390,1331,2768,6658
2022-11-15 20:02:48,Jardin d'Acclimatation,16121,"[48.878772242510465, 2.270772233605385]",Paris,222,760,1554,3789
2022-11-15 20:02:48,Gare Montparnasse - René Mouchotte,14117,"[48.83920384329242, 2.320883944630623]",Paris,346,1162,2458,5882
2022-11-15 20:02:48,Alexandre Dumas - Voltaire,11102,"[48.852888670365, 2.3891476408096]",Paris,302,1038,2150,5207
2022-11-15 20:02:48,Gare de Courbevoie,24002,"[48.8993867, 2.2506506]",Courbevoie,149,538,1102,2695
2022-11-15 20:02:48,Route de Sèvres - Porte de Bagatelle,16124,"[48.87525984132485, 2.249415814876557]",Paris,221,757,1678,3982
2022-11-15 20:02:48,Charonne - Avron,20043,"[48.85160266522164, 2.398403047037931]",Paris,302,1039,2215,5209
